from,to
bersa,bersama
berub,berubah
berwib,wibawa
berwibawa,wibawa
bgsa,bangsa
bgun,bangun
bicaradong,bicara
biki,buat
binun,bingung
bisajadi,bisa jadi
biyasa,biasa
bkar,bakar
bkin,buat
bknny,bukan
blusukann,blusukan
blusukannya,blusukan
bneran,benar
bnrkah,benar
bngong,bengong
boongnya,bohong
bpk,bapak
brfikir,berpikir
brjanji,berjanji
brlbhan,berlebihan
brmartabat,martabat
brpihak,berpihak
brpikir,berpikir
brtelanjang,telanjang
bubarkan,bubar
buetul,betul
buwang,buang
calonkandidat,calon kandidat
carii,cari
carikan,cari
cuccok,cocok
diaa,dia
diee,dia
duett,duet
cust,kustomer
sya,saya
lieur,pusing
hri,hari
liatnya,lihat
customer,kustomer
udeh,sudah
nambah,tambah
dimane,dimana
mane,mana
naek,naik
males,malas
sypa,siapa
go -jek,gojek
10rb,sepuluh ribu
130rb,seratus tigapuluh ribu
150rb,seratus lima puluh ribu
50rban,lima puluh ribu
80rb,delapan puluh ribu
90rb,sembilan puluh ribu
100rb,seratus ribu
50rb,lima puluh ribu
15menit,lima belas menit
100rebu,seratus ribu
0nline,online
aamin,amin
abangnyaa,abang
abaolutely,absolutly
abwank,abang
ada4,ada empat
adalh,adalah
ademm,adem
ademin,adem
agree,setuju
akhirin,akhir
akhirtwo,akhir two
aktifasi,aktivasi
akrabin,akrab
aktifin,aktif
aktivitasnya,aktivitas
akunnya,akun
alexisnya,alexis
aminn,amin
anaku,anak
ancem,ancam
anehh,aneh
angkotnya,angkot
antispasi,antisipasi
apakabar,apa kabar
apakh,apakah
apal,hafal
apap,apa
apapa,apa
apatwo,apa
applikasi,aplikasi
aplikasimu,aplikasi
apus,hapus
asuransinya,asuransi
asyik,asik
ataw,atau
balesan,balasan
balese,balas
bandingin,banding
banged,sangat
bantuin,bantu
bapa,bapak
baperan,baper
bawahnya,bawah
bayangin,bayangkan
bedany,beda
beliin,beli
benerin,benar
bentuknya,bentuk
beperpihakan,keberpihakan
bercandaan,bercanda
berentikan,henti
beresnya,beres
berha,berhak
berhentiin,berhenti
berijan,ijin
berkomentar,komentar
berpihakan,berpihak
bersihkan,bersih
bersihnya,bersih
kebersihan,bersih
bertggjwb,bertanggung jawab
besarin,membesarkan
besuk,besok
bgini,begini
bgmana,bagaimana
bgmnapun,bagaimana
bgni,begini
bgus,bagus
bgtu,begitu
bhs,bahasa
biasany,biasa
bingit,sangat
bisanye,bisa
bisanya,bisa
bkannya,bukan
bkin,buat
bknnya,bukan
blajar,belajar
bln,bulan
bls,balas
bntar,sebentar
bohongin,bohong
bojo,istri
bole,boleh
bolehh,boleh
boong,bohong
boongin,bohong
bosen,bosan
bpak,bapak
brbasis,basis
brbgi,berbagi
brenti,berhenti
brentinya,berhenti
brhentikan,berhenti
brhnti,berhenti
2019tetap,2019 tetap
30thn,30 tahun
abaikan,abai
abainya,abai
ngabsen,absen
eneng,ada
adala,adalah
agomo,agama
airnya,air
endingnya,akhir
terahir,akhir
alternatip,alternatif
amanahnya,amanah
umrik,amerika
bocah,anak
seandainya,andai
andaikan,andai
beranggotakan,anggota
